year,state,policies_prem,acres_insured,liabilities,premium,subsidy,indemnity,loss_ratio,net_benefit,farmer_premium,benefit_by_pol,benefit_by_acre
2020,MA,451,26529,45477706,4198017,2668789,3023189,0.720146,1493961,1529228,3312.552106,56.31425987
2020,MD,4198,834950,307581980,27810813,17668199,10716608,0.385339,573994,10142614,136.7303478,0.687459129
2020,ME,428,107155,88297729,9927942,6530447,9244934,0.931203,5847439,3397495,13662.24065,54.56991274
2020,MI,21470,4270577,1986277632,161226327,104926302,81201440,0.503648,24901415,56300025,1159.823707,5.830925189
2020,MN,73993,17552898,8125003098,573790713,349841364,230909909,0.402428,6960560,223949349,94.07052018,0.396547624
2020,MO,50226,10046823,3477130662,384572482,251579634,168143111,0.43722,35150263,132992848,699.8419743,3.498644596
2020,MS,7499,3881514,1370416959,124086229,85850547,147954293,1.19235,109718611,38235682,14631.09895,28.26696258
2020,MT,12672,10879448,1014091008,156157218,95539686,56082015,0.359138,-4535517,60617532,-357.9164299,-0.416888522
2020,NC,24276,3459176,1631535523,217078082,138773956,334199598,1.539536,255895472,78304126,10541.08881,73.97584627
2020,ND,52802,23356317,5418285923,862680605,587285841,1032728023,1.197115,757333259,275394764,14342.88964,32.42520039
2020,NE,76581,17774182,7505945516,513130681,303929314,211543636,0.41226,2342269,209201367,30.58551077,0.131779285
2020,NH,74,8271,4713592,446685,291484,255747,0.572544,100546,155201,1358.72973,12.15645025
2020,NJ,953,149625,81312802,5998570,4230239,2484581,0.414195,716250,1768331,751.5739769,4.786967419
2020,NM,2074,17132105,400149135,69366095,39055606,133961988,1.931231,103651499,30310489,49976.61475,6.050132135
2020,NV,387,25156487,316757540,79273195,42635766,151965392,1.916983,115327963,36637429,298005.0724,4.58442242
2020,NY,4504,1071221,579612201,55768735,36640406,35657378,0.639379,16529049,19128329,3669.859902,15.43010173
2020,OH,43919,7195262,3306837921,234060519,142786943,81208960,0.346957,-10064616,91273576,-229.1631412,-1.398783811
2020,OK,17452,6701970,789679793,159068451,104768937,105201286,0.661358,50901772,54299514,2916.672702,7.595046233
2020,OR,3403,8143675,587499276,62068086,34667149,87376701,1.407755,59975764,27400937,17624.37967,7.364705001
2020,PA,7872,1152759,473553547,54039058,36415671,65202413,1.206579,47579026,17623387,6044.083587,41.27404427
2020,RI,31,1297,1294858,107110,70733,338530,3.160582,302153,36377,9746.870968,232.9629915
2020,SC,7616,1156669,499278054,94795588,60918233,100793253,1.063269,66915898,33877355,8786.226103,57.85224468
2020,SD,47952,16423024,4572827563,595091789,421359103,497845742,0.836586,324113056,173732686,6759.114448,19.73528481
2020,TN,10837,2894061,980508915,86300317,58494711,60471845,0.700714,32666239,27805606,3014.324905,11.28733603
2020,TX,69115,42426960,4764547618,1011136090,675154831,1527706428,1.510881,1191725169,335981259,17242.64152,28.08886541
2020,UT,944,12945409,115771189,23768912,12910674,54075531,2.275052,43217293,10858238,45781.03072,3.338426233
2020,VA,7617,1208243,501694921,62222656,40326460,65298550,1.049433,43402354,21896196,5698.090324,35.92187499
2020,VT,286,74720,26548737,2789064,1823182,2147984,0.770145,1182102,965882,4133.223776,15.82042291
2020,WA,10857,4931011,2686085500,149929685,82413797,118383542,0.789593,50867654,67515888,4685.240306,10.31586707
2020,WI,30385,5180974,2441506996,212134939,140396173,72202884,0.340362,464118,71738766,15.27457627,0.089581225
2020,WV,317,53977,21411861,2492509,1638127,2431984,0.975717,1577602,854382,4976.662461,29.22730052
2020,WY,1884,7292941,168356205,23765581,13384671,30030708,1.263621,19649798,10380910,10429.82909,2.694358559
2021,AK,13,5118,762207,93555,74497,68815,0.735556,49757,19058,3827.461538,9.721961704
2021,AL,7816,1430373,678868322,86191363,57300290,47147160,0.547005,18256087,28891073,2335.732728,12.76316527
2021,AR,16803,5529625,2269547145,188218468,129846543,222297562,1.181061,163925637,58371925,9755.736297,29.64498262
2021,AZ,1467,30269315,513940382,101572483,55306204,133199489,1.311373,86933210,46266279,59259.17519,2.871991322
2021,CA,22893,11251228,8799705170,459792300,271612047,548047246,1.191945,359866993,188180253,15719.52095,31.98468585
2021,CO,15272,12926044,1313734471,229548701,137229066,187203476,0.815528,94883841,92319635,6212.9283,7.340516634
2021,CT,244,19242,39858446,9717158,6439985,20288503,2.087905,17011330,3277173,69718.56557,884.0728614
2021,DE,1469,313122,143580879,11744959,7174267,1982609,0.168805,-2588083,4570692,-1761.799183,-8.26541412
2021,FL,6339,2804361,1505666045,147506053,85971405,112793964,0.764673,51259316,61534648,8086.341063,18.27842992
2021,GA,18367,2762295,1883725203,222580599,138861913,156106333,0.701347,72387647,83718686,3941.17967,26.20561779
2021,HI,116,16233,46241468,903305,533474,1675633,1.855002,1305802,369831,11256.91379,80.44120002
2021,IA,124294,22012890,14862244239,1053176330,565234661,114485192,0.108704,-373456477,487941669,-3004.621921,-16.96535425
2021,ID,5686,7055442,1130425679,80509756,43374422,185860218,2.308542,148724884,37135334,26156.32853,21.07945668
2021,IL,126236,19837289,13179206179,978482726,567601084,126447593,0.129228,-284434049,410881642,-2253.192821,-14.33835284
2021,IN,49732,9742489,6216881657,525605018,303111970,66264247,0.126072,-156228801,222493048,-3141.413999,-16.03582011
2021,KS,113342,21683269,5767367983,874445342,549960490,285268705,0.326228,-39216147,324484852,-345.9983678,-1.808590162
2021,KY,16478,3471251,1897942737,205645447,133093055,74992454,0.364668,2440062,72552392,148.0799854,0.702934475
2021,LA,8891,2829567,1411299913,115969717,79798570,123982217,1.069091,87811070,36171147,9876.39973,31.03339486
2021,MA,458,26719,51651691,4821093,3051162,10437429,2.16495,8667498,1769931,18924.66812,324.3945507
2021,MD,4193,835219,379131421,36509099,23495733,7275544,0.19928,-5737822,13013366,-1368.42881,-6.869841323
2021,ME,442,104629,95656459,10117277,6641825,5483689,0.542012,2008237,3475452,4543.522624,19.19388506
2021,MI,23466,4286958,2397199101,221628165,143104782,76421297,0.344817,-2102086,78523383,-89.5800733,-0.490344435
2021,MN,75084,17742899,10030367262,833683585,511211692,526312103,0.631309,203840210,322471893,2714.828858,11.48855156
2021,MO,50718,9962971,4341403824,501520100,332170774,237063835,0.47269,67714509,169349326,1335.117887,6.796618097
2021,MS,7307,3600331,1539506691,140862055,102262411,122813737,0.871872,84214093,38599644,11525.12563,23.39065297
2021,MT,13069,12072976,1263963779,200913292,123547763,566918135,2.821705,489552606,77365529,37459.07154,40.54945574
2021,NC,25187,3472060,1928451497,274887383,176988193,169328569,0.615992,71429379,97899190,2835.962163,20.5726223
2021,ND,54839,24101445,7372717997,1084330463,744712217,1792045338,1.652674,1452427092,339618246,26485.29499,60.26307103
2021,NE,78696,19666629,9201552260,747103232,447008981,190665459,0.255206,-109428792,300094251,-1390.525465,-5.564186521
2021,NH,76,7850,5038172,427319,276536,213322,0.49921,62539,150783,822.8815789,7.966751592
2021,NJ,987,154187,95490875,7965663,5577733,1792942,0.225083,-594988,2387930,-602.8247214,-3.858872668
2021,NM,2440,23844663,524124869,100082893,55855261,131507706,1.313987,87280074,44227632,35770.52213,3.660360979
2021,NV,496,32258997,411845245,103557003,55475763,116713285,1.127043,68632045,48081240,138371.0585,2.127531894
2021,NY,4568,1106736,658042150,69181723,46147759,34360507,0.49667,11326543,23033964,2479.540937,10.23418683
2021,OH,47309,7244263,4112756783,360698649,221491725,35737745,0.099079,-103469179,139206924,-2187.092921,-14.28291311
2021,OK,17773,7015536,961232406,207880919,139803932,100732350,0.484567,32655363,68076987,1837.357959,4.654721036
2021,OR,3772,11800751,745712966,85088921,46683704,165795259,1.948494,127390042,38405217,33772.5456,10.79507923
2021,PA,8049,1191288,568919974,70179966,47819119,28867922,0.411341,6507075,22360847,808.4327246,5.462218204
2021,RI,30,1223,1307699,103926,67311,168253,1.618969,131638,36615,4387.933333,107.635323
2021,SC,8173,1166609,614313984,121189039,78840330,33537438,0.276736,-8811271,42348709,-1078.095069,-7.552891329
2021,SD,50326,17890579,6215927762,838837773,593425860,705442199,0.840975,460030286,245411913,9141.006359,25.71354935
2021,TN,10951,2776103,1228810530,116061790,79389159,40973261,0.353029,4300630,36672631,392.7157337,1.54916082
2021,TX,77149,47454948,5872425086,1381342084,919009841,1162298841,0.841427,699966598,462332243,9072.918612,14.75012886
2021,UT,1211,18622584,161618313,33986836,18365592,53757762,1.581723,38136518,15621244,31491.75723,2.047863927
2021,VA,7804,1226670,604165355,78760069,51382986,38977070,0.494883,11599987,27377083,1486.415556,9.456485444
2021,VT,284,79972,31589574,3417474,2195272,2074893,0.607142,852691,1222202,3002.433099,10.66236933
2021,WA,11265,4637005,2918306411,150511108,81238818,439371964,2.919199,370099674,69272290,32853.94354,79.81437889
2021,WI,32760,5302009,3000831793,305734847,203026830,69342432,0.226805,-33365585,102708017,-1018.485501,-6.29300799
2021,WV,316,53989,25801759,3267139,2119443,2294566,0.702316,1146870,1147696,3629.335443,21.24266054
2021,WY,1951,10866018,219687876,32971557,18412200,32011386,0.970878,17452029,14559357,8945.171194,1.606110813
2022,AK,10,4464,714206,142033,99505,249607,1.757387,207079,42528,20707.9,46.38866487
2022,AL,8015,1486227,849702228,111858613,75996251,93060591,0.831948,57198229,35862362,7136.397879,38.48552677
2022,AR,17103,5664618,2878024694,262212099,183243814,353241079,1.347157,274272794,78968285,16036.53125,48.41858604
2022,AZ,1933,37630915,712300718,137467386,75433155,184990138,1.345702,122955907,62034231,63608.84997,3.267417415
2022,CA,23185,13962616,10710957557,573518561,331075483,1464180647,2.552978,1221737569,242443078,52695.17227,87.50062087
2022,CO,15291,15210326,1653127737,301571018,182649320,502400890,1.665945,383479192,118921698,25078.75168,25.2117668
2022,CT,258,19740,44103375,9107398,5904879,2034995,0.223444,-1167524,3202519,-4525.286822,-59.14508612
2022,DE,1461,319039,186290675,15539965,9515912,5822036,0.374649,-202017,6024053,-138.2731006,-0.633204718
2022,FL,6441,2918340,1573277311,166478141,98243248,256114772,1.538428,187879879,68234893,29169.36485,64.37902335
2022,GA,18559,2757182,2269570953,306763552,203312437,283974053,0.925709,180522938,103451115,9726.975484,65.4737112
2022,HI,120,16458,50870548,1042650,612717,3593833,3.446825,3163900,429933,26365.83333,192.2408555
2022,IA,124772,22094910,19568830090,1363582744,735293536,316443613,0.232067,-311845595,628289208,-2499.323526,-14.11391108
2022,ID,6195,8943363,1479559447,121813217,64476769,128178024,1.05225,70841576,57336448,11435.28265,7.921133918
2022,IL,125436,19961349,17043666555,1246146621,731074938,123766732,0.099319,-391304951,515071683,-3119.558588,-19.60313158
2022,IN,49209,9798630,8000651489,672363805,393487135,78599322,0.116899,-200277348,278876670,-4069.933305,-20.43932142
2022,KS,111612,22111227,7608682412,1171063860,737982597,2222072308,1.897481,1788991045,433081263,16028.6622,80.90871868
2022,KY,16122,3516570,2390078805,254404105,167394248,167885011,0.659914,80875154,87009857,5016.446719,22.9983063
2022,LA,9569,2784070,1799935498,158489244,110427324,169724426,1.070889,121662506,48061920,12714.23409,43.69951402
2022,MA,456,23177,54412350,4820691,2992674,2500341,0.518668,672324,1828017,1474.394737,29.00824093
2022,MD,4229,856197,489962761,47439738,30721437,13010456,0.274252,-3707845,16718301,-876.766375,-4.330597982
2022,ME,432,105645,113788837,11700404,7694057,3725770,0.31843,-280577,4006347,-649.4837963,-2.655847414
2022,MI,23018,4412280,3074321896,275629739,178882964,95151770,0.345215,-1595005,96746775,-69.29381354,-0.361492244
2022,MN,76244,17847557,12724424020,1075729765,656149293,370618085,0.344527,-48962387,419580472,-642.1801978,-2.743366333
2022,MO,49982,10134607,5560478847,645885193,430167610,354914952,0.549501,139197369,215717583,2784.949962,13.73485612
2022,MS,7786,3626533,2014091200,204278883,151529314,196993899,0.964338,144244330,52749569,18526.11482,39.77471872
2022,MT,14395,16405389,1861276631,328774761,204556434,482764035,1.468373,358545708,124218327,24907.65599,21.85536155
