,year,state,policies_prem,acres_insured,liabilities,premium,subsidy,indemnity,loss_ratio,net_benefit,farmer_premium,benefit_by_pol,benefit_by_acre
79,2015,NH,78,9575,5588693,607145,410665,55332,0.091134,-141148,196480,-1809.589744,-14.74130548
80,2015,NJ,1062,157790,68062160,5888604,4280799,4567144,0.77559,2959339,1607805,2786.571563,18.7549211
81,2015,NM,1670,2720721,182328562,24002111,15731372,11404063,0.475127,3133324,8270739,1876.241916,1.15165208
82,2015,NV,206,1834379,66135181,10529165,5731093,29795436,2.8298,24997364,4798072,121346.4272,13.62715339
83,2015,NY,4655,1063281,534036529,46073824,30597977,49994804,1.085102,34518957,15475847,7415.458002,32.46456675
84,2015,OH,44112,7005331,3131856391,254929945,153212272,194276070,0.762076,92558397,101717673,2098.258909,13.21256583
85,2015,OK,23943,7290949,890077183,199841773,128710577,141371700,0.707418,70240504,71131196,2933.655098,9.633931605
86,2015,OR,3227,1009320,386730310,27966076,15271805,52384714,1.873152,39690443,12694271,12299.48652,39.32394384
87,2015,PA,9194,1189065,469445226,62440792,42683468,29096252,0.465981,9338928,19757324,1015.763324,7.854009663
88,2015,RI,28,1342,1210338,76974,56267,62868,0.816743,42161,20707,1505.75,31.41654247
89,2015,SC,5724,1188212,398812306,65143585,43646060,147700137,2.267301,126202612,21497525,22047.97554,106.2122012
90,2015,SD,54152,16140142,4439860068,694825507,484411008,187961980,0.270516,-22452519,210414499,-414.6203095,-1.391097984
91,2015,TN,11600,2706733,841781781,93656862,62545325,47702130,0.509328,16590593,31111537,1430.223534,6.129379218
92,2015,TX,85790,44416830,4063506641,920143994,621235297,572838910,0.622553,273930213,298908697,3193.031973,6.167261666
93,2015,UT,516,489027,35375472,3436699,2253782,3119938,0.907829,1937021,1182917,3753.916667,3.960969435
94,2015,VA,6960,1260815,473877435,63704449,41954582,37096896,0.582328,15347029,21749867,2205.032902,12.17230839
95,2015,VT,407,77178,31848545,3588107,2377743,3355884,0.935279,2145520,1210364,5271.547912,27.79963202
96,2015,WA,11826,2909984,2186051148,109116718,61066494,188617398,1.728583,140567174,48050224,11886.28226,48.30513639
97,2015,WI,34920,5290216,2367622279,243995054,156702556,56298506,0.230736,-30993992,87292498,-887.5713631,-5.858738471
98,2015,WV,344,49906,18587667,2332800,1520187,1142432,0.489725,329819,812613,958.7761628,6.608804553
99,2015,WY,2299,1893987,119748699,15927808,9349104,7406432,0.465,827728,6578704,360.0382775,0.437029399
100,2016,AK,15,6668,657170,71657,59802,11382,0.15884,-473,11855,-31.53333333,-0.070935813
101,2016,AL,7124,1339597,440774568,64442379,43958532,41934232,0.650724,21450385,20483847,3011.002948,16.01256572
102,2016,AR,16860,5183364,1550386783,121793102,85069816,138184248,1.134581,101460962,36723286,6017.850652,19.57434631
103,2016,AZ,828,1145202,244636664,18333823,11533785,18689287,1.019388,11889249,6800038,14358.99638,10.38179203
104,2016,CA,23001,6182459,9427422672,451247627,272598027,309936106,0.686842,131286506,178649600,5707.860789,21.23532174
105,2016,CO,15251,6273046,1036905926,160866568,97245377,72956110,0.453519,9334919,63621191,612.0856993,1.48809988
106,2016,CT,202,18560,20933517,4707586,2895305,2563964,0.544645,751683,1812281,3721.20297,40.50016164
107,2016,DE,1518,292974,101389059,8855085,5370247,3304179,0.373139,-180659,3484838,-119.0111989,-0.616638337
108,2016,FL,5144,1664019,984636759,62520293,38530316,47773618,0.764129,23783641,23989977,4623.569401,14.29289029
109,2016,GA,15159,2436151,1255061906,147550895,94251792,152476914,1.033385,99177811,53299103,6542.503529,40.71086357
110,2016,HI,123,28903,86698744,1229091,742688,1068355,0.869223,581952,486403,4731.317073,20.1346573
111,2016,IA,123286,21864382,10958040068,596682101,316526583,54281170,0.090971,-225874348,280155518,-1832.116769,-10.33069894
112,2016,ID,5603,2043757,889155815,54194422,29741848,14384419,0.265422,-10068155,24452574,-1796.922185,-4.9262975
113,2016,IL,120637,19023048,9309364070,625697380,353610995,92077519,0.147159,-180008866,272086385,-1492.153038,-9.462672123
114,2016,IN,46269,9363150,4428344160,339693579,189087869,78142460,0.230038,-72463250,150605710,-1566.12959,-7.739195677
115,2016,KS,119155,18775918,4115969621,602449715,371247318,77649920,0.12889,-153552477,231202397,-1288.678419,-8.178160823
116,2016,KY,16557,3308037,1371841149,142159334,90731985,122905989,0.864565,71478640,51427349,4317.125083,21.60756969
117,2016,LA,8195,3001057,947339083,75189101,52805156,99412803,1.32217,77028858,22383945,9399.49457,25.66724257
118,2016,MA,438,25200,40864651,3066382,1907056,3578489,1.167006,2419163,1159326,5523.203196,95.99853175
119,2016,MD,4422,850277,270143375,29160672,18427253,10615025,0.364018,-118394,10733419,-26.77385798,-0.139241682
120,2016,ME,482,109650,74972575,10022409,6648196,4293330,0.428373,919117,3374213,1906.881743,8.382279982
121,2016,MI,21701,4122693,1683473585,160169470,105271963,46164979,0.288225,-8732528,54897507,-402.4021013,-2.118161115
122,2016,MN,79048,17606168,7535604698,558995390,341256266,118422108,0.211848,-99317016,217739124,-1256.414027,-5.641035346
123,2016,MO,52644,9170143,2955074080,356529569,232207682,79673581,0.223469,-44648306,124321887,-848.1176582,-4.868877835
124,2016,MS,8246,3651005,1175250619,120834325,84853528,108161430,0.895121,72180633,35980797,8753.411715,19.77007235
125,2016,MT,14354,9431540,999575717,149132070,90808767,74336518,0.49846,16013215,58323303,1115.592518,1.697836727
126,2016,NC,18924,3647261,1479528359,171458531,110075306,269334227,1.570841,207951002,61383225,10988.74456,57.01566244
127,2016,ND,56732,23218072,4969914982,849746216,578961258,291460905,0.342997,20675947,270784958,364.4494641,0.890510935
128,2016,NE,84937,16421644,6749444700,507213314,290393532,117963237,0.232571,-98856545,216819782,-1163.880818,-6.019893319
129,2016,NH,73,8645,4631945,524475,352531,1110424,2.11721,938480,171944,12855.89041,108.5575477
130,2016,NJ,1013,153558,67058556,5790555,4217409,4281264,0.739352,2708118,1573146,2673.364265,17.63579885
131,2016,NM,1660,4812193,220987975,30031956,18541579,25125203,0.836615,13634826,11490377,8213.750602,2.833391346
132,2016,NV,244,3940378,62843226,9968283,5543809,14251584,1.429692,9827110,4424474,40275.04098,2.493951088
133,2016,NY,4514,1063464,526072670,47698023,31567900,65357447,1.370233,49227324,16130123,10905.47718,46.28960078
134,2016,OH,43734,7001948,2920408931,237348294,141992379,80596282,0.339569,-14759633,95355915,-337.4864636,-2.107932393
135,2016,OK,21048,6338358,763491851,175692781,115492775,55112658,0.313687,-5087348,60200006,-241.7022045,-0.802628693
136,2016,OR,3135,1255552,394392131,31038938,17024215,26638413,0.858225,12623690,14014723,4026.695375,10.05429484
137,2016,PA,8828,1181211,443608610,59388366,40261295,58262900,0.981049,39135829,19127071,4433.147825,33.13195441
138,2016,RI,30,1141,1202089,79984,57908,226952,2.837467,204876,22076,6829.2,179.5582822
139,2016,SC,5985,1260756,401104828,68586361,45197506,73632964,1.07358,50244109,23388855,8395.005681,39.85236556
140,2016,SD,52069,16425737,4198856378,673444073,473959454,164003976,0.24353,-35480643,199484619,-681.4158712,-2.16006399
141,2016,TN,11146,2652807,811216926,93440189,62296737,49666066,0.531527,18522614,31143452,1661.817154,6.982269724
142,2016,TX,76073,37758928,4152144572,882383503,597635606,497753211,0.5641,213005314,284747897,2800.012015,5.641190714
143,2016,UT,478,665401,38798672,4224941,2706541,2126201,0.503249,607801,1518400,1271.550209,0.913435658
144,2016,VA,6668,1226337,447233019,61831433,40527211,52049838,0.841802,30745616,21304222,4610.920216,25.07109873
145,2016,VT,378,73403,26797673,3195788,2112141,880890,0.27564,-202757,1083647,-536.3941799,-2.76224405
146,2016,WA,11639,2931274,2136785365,116907437,64267188,48699507,0.416564,-3940742,52640249,-338.5808059,-1.344378588
147,2016,WI,33351,5230787,2246262554,217498539,140914954,31015547,0.142601,-45568038,76583585,-1366.316992,-8.711507083
148,2016,WV,342,49588,17637953,2177883,1419396,1125890,0.516965,367403,758487,1074.277778,7.409111075
149,2016,WY,2148,2048596,130139971,17344790,9986890,16511002,0.951928,9153102,7357900,4261.22067,4.467987832
150,2017,AK,14,6448,634843,72292,57062,13953,0.193008,-1277,15230,-91.21428571,-0.198045906
151,2017,AL,6782,1398448,506145197,71715232,48656323,38661907,0.539103,15602998,23058909,2300.648481,11.15736731
152,2017,AR,15811,5278722,1570085219,132754641,92821448,153817035,1.158656,113883842,39933193,7202.823477,21.57413139
153,2017,AZ,1055,15606243,511391184,97609450,54384878,106389663,1.089952,63165091,43224572,59872.12417,4.047424547
154,2017,CA,22220,6488119,7763732780,377519277,231388094,291233705,0.77144,145102522,146131183,6530.266517,22.3643435
155,2017,CO,14946,6852574,1044422099,172214461,102604705,108036285,0.627335,38426529,69609756,2571.024287,5.607605113
156,2017,CT,210,17962,23607555,5239932,3256354,2433064,0.464331,449486,1983578,2140.409524,25.02427347
157,2017,DE,1399,316688,108747402,9696002,5878928,934616,0.096391,-2882458,3817074,-2060.370264,-9.101885768
158,2017,FL,4741,1863991,1003434389,71251610,42280067,86956530,1.220414,57984987,28971543,12230.53934,31.10797584
159,2017,GA,14637,2722487,1445311815,163476208,104999414,177952333,1.088551,119475539,58476794,8162.57013,43.88470505
160,2017,HI,115,28544,88082754,966567,594444,987686,1.021849,615563,372123,5352.721739,21.56540779
161,2017,IA,121898,21871916,11787461819,695245421,372086965,164859758,0.237124,-158298698,323158456,-1298.61604,-7.237532277
162,2017,ID,5413,2072319,835771188,51233585,28151108,43514473,0.849334,20431996,23082477,3774.615925,9.859483989
163,2017,IL,118680,19288056,10130553664,695521666,393660787,178394303,0.256489,-123466576,301860879,-1040.331783,-6.40119336
164,2017,IN,45001,9518345,4792554152,380498762,212162276,118859770,0.312378,-49476716,168336486,-1099.458145,-5.198037684
165,2017,KS,115165,19254629,4368157132,619270475,385241806,284173303,0.458883,50144634,234028669,435.415569,2.604289805
166,2017,KY,16320,3377406,1506087179,155684948,99547809,92588878,0.594719,36451739,56137139,2233.562439,10.79282118
167,2017,LA,7373,2780852,977876171,83306736,59442469,52903305,0.635042,29039038,23864267,3938.564763,10.44249676
168,2017,MA,428,25732,39705892,3151695,2042981,2465932,0.782414,1357218,1108714,3171.070093,52.74436499
169,2017,MD,4238,851832,293398812,31923637,20093142,4682111,0.146665,-7148384,11830495,-1686.735252,-8.391776782
170,2017,ME,461,109370,78339172,10665440,7090531,2990882,0.280427,-584027,3574909,-1266.869848,-5.339919539
171,2017,MI,20568,4201018,1790595651,175560095,116518018,94184651,0.53648,35142574,59042077,1708.604337,8.365251946
172,2017,MN,77349,17647599,8118022380,631682215,387068438,141917222,0.224665,-102696555,244613777,-1327.70372,-5.819293321
173,2017,MO,51387,9559706,3286357693,383883351,250811478,117883547,0.307081,-15188326,133071873,-295.5674782,-1.588785889
174,2017,MS,7185,3578570,1227451332,127007146,91966789,79947057,0.629468,44906700,35040357,6250.06263,12.54878345
175,2017,MT,14135,9033361,1018778804,154353953,94832881,239218375,1.549804,179697303,59521072,12712.93265,19.89262944
176,2017,NC,17574,3382592,1555770653,185495131,119687707,142933769,0.770552,77126345,65807424,4388.661944,22.80096003
177,2017,ND,54965,23224969,5528578374,924906066,634736379,567996344,0.614112,277826657,290169687,5054.610334,11.96241239
178,2017,NE,83543,18033094,7256776293,549236563,317680166,165615398,0.301537,-65940999,231556397,-789.3060939,-3.65666585
179,2017,NH,68,7488,4048159,440371,293835,341867,0.776315,195331,146536,2872.514706,26.08587073
180,2017,NJ,974,154809,70711614,6258739,4508914,1239348,0.198018,-510477,1749825,-524.1036961,-3.297463326
181,2017,NM,1762,7659171,277155545,43736990,25979886,39114303,0.894307,21357199,17757104,12120.9983,2.788447862
