year,state,policies_prem,acres_insured,liabilities,premium,subsidy,indemnity,loss_ratio,net_benefit,farmer_premium,benefit_by_pol,benefit_by_acre
2020,AR,17030,5721844,2040342566,162159898,108932926,269067813,51.450205,215840841,53226972,12674.1539,37.72225195
2020,AZ,1253,30173359,495938547,97016429,52669537,159346982,60.202013,115000090,44346892,91779.80048,3.811312158
2020,CA,22277,8943354,8928600264,434624435,262333595,614056846,86.530298,441766006,172290840,19830.58787,49.39601027
2020,CO,14315,9551015,1076160348,174558536,104790064,260583393,60.698037,190814921,69768472,13329.71855,19.97849663
2020,CT,214,18454,32998439,8161526,5378758,4063438,30.728289,1280670,2782768,5984.439252,69.3979625
2020,DE,1511,317927,116538172,8853956,5409647,2294479,12.983251,-1149830,3444309,-760.9728657,-3.616647847
2020,FL,5458,2469189,1245509802,105186902,60838929,97462300,63.311958,53114327,44347973,9731.463357,21.51083898
2020,GA,17217,2708118,1635996523,176774705,109865391,144160473,27.553462,77251159,66909314,4486.911715,28.52577288
2020,HI,99,16344,45718371,883607,523039,2176383,19.899509,1815815,360568,18341.56566,111.099792
2020,IA,117083,21826047,11984890489,609754673,329633738,618625678,32.020974,338504743,280120935,2891.151943,15.50920984
2020,ID,5347,5586780,966359991,66478458,35984694,42741480,40.54086,12247716,30493764,2290.577146,2.19226746
2020,IL,121436,19695908,10948087178,643897890,372956379,178854239,35.443195,-92087272,270941511,-758.3193781,-4.675451977
2020,IN,46253,9689083,5095133169,343815253,196048249,68880866,22.602809,-78886138,147767004,-1705.535598,-8.141754798
2020,KS,108796,20239008,4612849564,632593281,396549502,248043666,35.198248,11999887,236043779,110.2971341,0.592908852
2020,KY,15984,3462946,1530685787,149795968,96192522,101574128,92.959169,47970682,53603446,3001.168794,13.85256426
2020,LA,7806,2915113,1199293434,88030465,59677467,124124734,62.509424,95771736,28352998,12268.99001,32.85352437
2020,MA,451,26529,45477706,4198017,2668789,3023189,52.742732,1493961,1529228,3312.552106,56.31425987
2020,MD,4198,834950,307581980,27810813,17668199,10716608,40.251468,573994,10142614,136.7303478,0.687459129
2020,ME,428,107155,88297729,9927942,6530447,9244934,142.386352,5847439,3397495,13662.24065,54.56991274
2020,MI,21471,4271009,1988888319,161472175,105071343,81258072,31.646358,24857240,56400832,1157.712263,5.819992419
2020,MN,73993,17552898,8125003098,573790713,349840771,230908284,42.453216,6958342,223949942,94.04054438,0.396421263
2020,MO,50226,10046823,3477130662,384572482,251579634,168014963,30.070302,35022115,132992848,697.2905467,3.48588952
