year,region,region_fips,policies_prem,acres_insured,liabilities,premium,subsidy,indemnity,net_benefit,farmer_premium,loss_ratio,benefit_by_pol,benefit_by_acre
2020,Northeastern Connecticut,09905,30.550176,4714.58183,2044847.0668549999,187290.841692,125394.574971,339547.195181,277650.92846,61896.266721,1.8129407295813522,9088.357738430052,58.891952345219984
2020,Northwest Hills,09906,27.091338999999998,2729.852753,3078376.698492,684362.8697939999,446191.712981,373460.590065,135289.433252,238171.156813,0.5457055117227727,4993.8260066067605,49.55924201527802
2020,Lower Connecticut River Valley,09907,6.821906,529.22299,678059.582945,85931.465542,59863.395751000004,201563.967711,175495.89792,26068.069791,2.3456363328574126,25725.34683415456,331.6104954548554
2020,Eastern Connecticut,09908,16.843248,3187.3018199999997,1083477.38136,46506.613836,31196.111808,90336.888588,75026.38656,15310.502028,1.9424525059287743,4454.389471674347,23.53915342727097
2020,Western Connecticut,09909,2.935241,300.150765,213347.982654,47886.558548,30343.627556,112625.506352,95082.57536,17542.930992,2.35192316522616,32393.447543148926,316.7827187113783
2021,Capitol,09901,128.292734,6123.891498,29196480.718167998,8023970.600882,5315702.08431,17310675.341624,14602406.825052,2708268.516572,2.157370235095477,113820.99648022155,2384.497966664007
2021,South Central Connecticut,09903,12.218104,502.379688,986722.5796480001,156924.296792,106329.84684,63082.789664,12488.339712,50594.449952,0.4019950444488209,1022.1176470588235,24.858369098712448
2021,Naugatuck Valley,09904,12.725967,778.323222,1591559.42278,363757.09650700004,242053.612326,694443.596987,572740.112806,121703.48418099999,1.9090860457581103,45005.62611909964,735.8640942695656
2021,Northeastern Connecticut,09905,29.920840000000002,4580.9742909999995,2222012.320027,197706.909624,131099.17457799998,383629.059417,317021.324371,66607.735046,1.9403927770991296,10595.335036416089,69.20390821529718
2021,Northwest Hills,09906,32.054837,2898.95342,3650304.989869,799723.765448,526607.647373,1753490.027652,1480373.909577,273116.118075,2.192619631191911,46182.5436696808,510.6580531318092
2021,Lower Connecticut River Valley,09907,7.0243400000000005,572.940421,692400.032457,78932.573304,55280.046298,9321.103627,-14331.423379,23652.527006,0.11808944313902968,-2040.2519495069998,-25.01381095435052
2021,Eastern Connecticut,09908,18.48462,3469.1953679999997,1300502.1238560001,58026.634332,38828.252484000004,50174.223216,30975.841368,19198.381848,0.8646757440544914,1675.762951469925,8.928825875222373
2021,Western Connecticut,09909,3.2784329999999997,315.33701099999996,217830.68628000002,37962.211454000004,23933.06299,23669.094259999998,9639.945795999998,14029.148464000002,0.6234909230375205,2940.412628838228,30.570296095056218
2022,Capitol,09901,138.92755599999998,6370.191106,31369934.686466,7388502.970928,4780628.564836,1000627.620792,-1607246.7853,2607874.406092,0.1354303604842864,-11568.956019783436,-252.30746747709895
2022,South Central Connecticut,09903,12.936816,519.628776,1163190.811856,176461.045088,119038.83113600001,143904.828912,86482.61496,57422.213952,0.8155047979016308,6685.0,166.43153526970954
2022,Naugatuck Valley,09904,13.237082000000001,788.1881060000001,1805852.0138909998,355150.73424,231382.64065899997,138320.305931,14552.212349999998,123768.093581,0.3894692945714914,1099.3519833147516,18.462867225758412
2022,Northeastern Connecticut,09905,31.062267,4783.149477,2838231.2146999994,215037.899592,142993.216052,187050.739805,115006.05626499999,72044.68354,0.8698501062366161,3702.4360219748287,24.044002140851344
2022,Northwest Hills,09906,32.132996,2904.1013849999995,4246155.812752,774744.893038,497677.341061,339306.87102799997,62239.319050999984,277067.551977,0.43795948069754814,1936.9286029537982,21.43152417903619
2022,Lower Connecticut River Valley,09907,7.125557000000001,564.762327,736317.08867,80502.255452,56612.075912,104565.571755,80675.392215,23890.17954,1.2989148088819438,11321.976964748159,142.84839543661698
2022,Eastern Connecticut,09908,19.384956,3495.0656160000003,1662328.45506,72965.927916,48778.750296,82535.81993999999,58348.64232,24187.177620000002,1.1311556269799934,3009.99611863963,16.694577078291967
2022,Western Connecticut,09909,3.192635,314.90802099999996,279520.577996,44040.930468,27778.81592,107289.143509,91027.028961,16262.114548000001,2.436123450819368,28511.567705359368,289.0590994536783
2023,Capitol,09901,120.39272,6782.95212,36787163.531026,7581778.5515519995,4738633.086942,16414220.345751999,13571074.881142,2843145.46461,2.164956445792259,112723.38461280716,2000.7622995195195
2023,South Central Connecticut,09903,14.37424,481.53704,1213083.798896,232493.270032,151102.72959200002,177939.435672,96548.895232,81390.54044,0.765353060101519,6716.799999999999,200.50149253731342
2023,Naugatuck Valley,09904,13.375720999999999,761.76321,1982325.851049,379030.287591,239606.023205,713376.2046480001,573951.940262,139424.264386,1.8821087074122758,42909.981470307284,753.4519030684089
2023,Northeastern Connecticut,09905,33.863081,4745.716375,3328350.790418,272731.923127,179829.68941300001,480030.107432,387127.87371799996,92902.23371399999,1.7600803819671298,11432.151543387323,81.57416986766302
2023,Northwest Hills,09906,32.063172,2826.955172,4692433.758863,795895.4793440001,497357.22773399996,1711778.550551,1413240.2989410001,298538.25161000004,2.1507579763638023,44076.746335047574,499.9160626735966
2023,Lower Connecticut River Valley,09907,7.327991,575.2767249999999,830311.314228,92298.402237,63639.490963000004,304926.212222,276267.300948,28658.911274,3.303699791454928,37700.278418464215,480.23375350010906
2023,Eastern Connecticut,09908,21.238728000000002,3570.7233,1876662.217824,81076.83009599999,53808.535404,53653.944876,26385.650184,27268.294692000003,0.661766682447629,1242.3366495394637,7.3894412888279515
2023,Western Connecticut,09909,3.3642309999999997,306.070827,301133.517695,51626.989002999995,32569.654739,141611.527043,122554.192779,19057.334264,2.742974745917704,36428.59030161722,400.41121847591177
